g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.5,0.05,1,1,0.51641124,1,38,0.51362604,0.51919645
0.9,0.05,1,2,0.905412,1,94,0.9029601,0.907864
0.5,0.05,2,1,0.5166059,1,31,0.5134754,0.5197364
0.9,0.05,2,2,0.9056974,1,91,0.9032657,0.90812904
0.5,0.05,3,1,0.51641333,1,30,0.5141204,0.5187062
0.9,0.05,3,2,0.9053793,1,87,0.9031485,0.9076102
0.5,0.05,4,1,0.5140168,1,32,0.51143664,0.516597
0.9,0.05,4,2,0.9053122,1,90,0.90317214,0.90745217
0.5,0.05,5,1,0.5161799,1,26,0.5134652,0.5188946
0.9,0.05,5,2,0.905786,1,91,0.9035106,0.9080614
0.5,0.05,6,1,0.5164121,1,32,0.5132389,0.51958525
0.9,0.05,6,2,0.904837,1,89,0.90292394,0.9067501
0.5,0.05,7,1,0.5158815,1,52,0.51298934,0.5187736
0.9,0.05,7,2,0.9056175,1,91,0.9031881,0.9080469
0.5,0.05,8,1,0.5161596,1,35,0.51247054,0.5198487
0.9,0.05,8,2,0.90483797,1,93,0.90302485,0.90665114
0.5,0.05,9,1,0.51533407,1,43,0.5134165,0.5172516
0.9,0.05,9,2,0.90497637,1,91,0.90302616,0.9069266
0.5,0.05,10,1,0.51670957,1,34,0.5132968,0.5201224
0.9,0.05,10,2,0.9057778,1,94,0.90326357,0.908292
0.5,0.05,11,1,0.5182742,1,31,0.5146699,0.5218784
0.9,0.05,11,2,0.90569836,1,92,0.9032524,0.9081443
0.5,0.05,12,1,0.5170477,1,29,0.51464796,0.5194474
0.9,0.05,12,2,0.9054628,1,92,0.9030967,0.90782887
0.5,0.05,13,1,0.51652527,1,35,0.5138171,0.51923347
0.9,0.05,13,2,0.90555614,1,88,0.9030024,0.90810984
0.5,0.05,14,1,0.51606756,1,38,0.51278716,0.519348
0.9,0.05,14,2,0.90472907,1,88,0.90293527,0.9065229
0.5,0.05,15,1,0.5153308,1,43,0.5133538,0.5173078
0.9,0.05,15,2,0.904918,1,91,0.90292627,0.9069097
0.5,0.05,16,1,0.5142327,1,30,0.51245636,0.5160091
0.9,0.05,16,2,0.90521455,1,89,0.9032007,0.90722835
0.5,0.05,17,1,0.5158536,1,30,0.51413476,0.51757246
0.9,0.05,17,2,0.9055847,1,90,0.90351844,0.90765095
0.5,0.05,18,1,0.51589644,1,35,0.5134125,0.5183804
0.9,0.05,18,2,0.9054769,1,87,0.90318567,0.9077682
0.5,0.05,19,1,0.51706815,1,33,0.51329166,0.52084464
0.9,0.05,19,2,0.9057623,1,92,0.9032488,0.9082758
0.5,0.05,20,1,0.51615936,1,39,0.51255745,0.5197613
0.9,0.05,20,2,0.9049657,1,92,0.90284795,0.9070834
0.5,0.05,21,1,0.5180201,1,39,0.515431,0.5206092
0.9,0.05,21,2,0.90565526,1,88,0.9031482,0.9081623
0.5,0.05,22,1,0.51625675,1,36,0.5151784,0.5173352
0.9,0.05,22,2,0.9053532,1,87,0.90312344,0.9075829
0.5,0.05,23,1,0.5149984,1,37,0.5131535,0.51684326
0.9,0.05,23,2,0.90571713,1,90,0.9033485,0.9080858
0.5,0.05,24,1,0.5166461,1,38,0.51523995,0.51805216
0.9,0.05,24,2,0.90540123,1,92,0.90315,0.9076525
0.5,0.05,25,1,0.5148545,1,41,0.5128521,0.5168569
0.9,0.05,25,2,0.9052848,1,94,0.9031799,0.90738976
0.5,0.05,26,1,0.51764417,1,33,0.5137616,0.52152675
0.9,0.05,26,2,0.9049334,1,91,0.90331,0.9065568
0.5,0.05,27,1,0.5161786,1,43,0.5122977,0.5200596
0.9,0.05,27,2,0.90568095,1,93,0.9034187,0.90794325
0.5,0.05,28,1,0.51527274,1,31,0.5134687,0.5170768
0.9,0.05,28,2,0.9051322,1,88,0.9030769,0.9071874
0.5,0.05,29,1,0.5164975,1,39,0.5135984,0.5193966
0.9,0.05,29,2,0.9054381,1,89,0.902823,0.9080533
0.5,0.05,30,1,0.5156859,1,40,0.5138359,0.5175359
0.9,0.05,30,2,0.9051123,1,88,0.9030718,0.90715283
0.5,0.05,31,1,0.51659304,1,33,0.51515305,0.51803297
0.9,0.05,31,2,0.9052838,1,90,0.9031284,0.90743923
0.5,0.05,32,1,0.51815796,1,37,0.5142979,0.52201796
0.9,0.05,32,2,0.90558946,1,88,0.9031206,0.9080583
0.5,0.05,33,1,0.5154887,1,36,0.51345813,0.51751924
0.9,0.05,33,2,0.9046771,1,88,0.90320504,0.90614915
0.5,0.05,34,1,0.51673186,1,42,0.5145888,0.51887494
0.9,0.05,34,2,0.9055831,1,92,0.9032279,0.90793824
0.5,0.05,35,1,0.51461613,1,32,0.5130684,0.5161639
0.9,0.05,35,2,0.90537465,1,91,0.9032028,0.9075466
0.5,0.05,36,1,0.5145494,1,34,0.5139661,0.5151327
0.9,0.05,36,2,0.90575176,1,88,0.90315366,0.90834993
0.5,0.05,37,1,0.5127601,1,32,0.5114957,0.5140245
0.9,0.05,37,2,0.90474385,1,87,0.90323806,0.9062497
0.5,0.05,38,1,0.5173012,1,33,0.51617104,0.51843137
0.9,0.05,38,2,0.90498227,1,88,0.9032901,0.90667444
0.5,0.05,39,1,0.5176123,1,32,0.5146132,0.5206114
0.9,0.05,39,2,0.9050434,1,89,0.9031341,0.9069528
0.5,0.05,40,1,0.5163227,1,32,0.5130184,0.51962686
0.9,0.05,40,2,0.90517914,1,88,0.90307695,0.90728134
0.5,0.05,41,1,0.51546884,1,34,0.5132852,0.51765245
0.9,0.05,41,2,0.90580386,1,85,0.9032588,0.9083489
0.5,0.05,42,1,0.51652855,1,36,0.51420295,0.5188542
0.9,0.05,42,2,0.905488,1,90,0.9032312,0.9077448
0.5,0.05,43,1,0.51524127,1,36,0.51400614,0.5164764
0.9,0.05,43,2,0.90435714,1,91,0.902907,0.9058073
0.5,0.05,44,1,0.5167942,1,35,0.51452553,0.5190629
0.9,0.05,44,2,0.9065096,1,94,0.9034015,0.90961766
0.5,0.05,45,1,0.5158666,1,38,0.513084,0.51864916
0.9,0.05,45,2,0.9054536,1,95,0.9031359,0.90777135
0.5,0.05,46,1,0.5164244,1,38,0.51405144,0.5187974
0.9,0.05,46,2,0.90499556,1,88,0.9030049,0.9069863
0.5,0.05,47,1,0.51535624,1,34,0.5132296,0.5174828
0.9,0.05,47,2,0.90596247,1,92,0.9032503,0.9086747
0.5,0.05,48,1,0.5163637,1,31,0.5139903,0.518737
0.9,0.05,48,2,0.9048323,1,90,0.9030499,0.90661466
0.5,0.05,49,1,0.51484865,1,28,0.51264495,0.5170523
0.9,0.05,49,2,0.90502673,1,87,0.90299827,0.90705514
0.5,0.05,50,1,0.5149454,1,35,0.5136774,0.51621336
0.9,0.05,50,2,0.90553045,1,92,0.9032578,0.9078031
0.5,0.05,51,1,0.51270705,1,33,0.5130768,0.5123373
0.9,0.05,51,2,0.9048185,1,94,0.9030415,0.90659547
0.5,0.05,52,1,0.51437324,1,45,0.51278305,0.5159634
0.9,0.05,52,2,0.90616804,1,87,0.9035821,0.908754
0.5,0.05,53,1,0.51713806,1,32,0.5151672,0.519109
0.9,0.05,53,2,0.90536267,1,92,0.90321994,0.9075054
0.5,0.05,54,1,0.5153604,1,32,0.5137779,0.516943
0.9,0.05,54,2,0.90484047,1,86,0.9029373,0.90674365
0.5,0.05,55,1,0.5154064,1,32,0.5143991,0.5164137
0.9,0.05,55,2,0.9055921,1,91,0.9032015,0.9079827
0.5,0.05,56,1,0.51705176,1,36,0.5142027,0.51990074
0.9,0.05,56,2,0.9057414,1,90,0.9032494,0.9082334
0.5,0.05,57,1,0.515609,1,34,0.514216,0.517002
0.9,0.05,57,2,0.9057091,1,93,0.9034093,0.9080089
0.5,0.05,58,1,0.5136257,1,35,0.513202,0.5140494
0.9,0.05,58,2,0.9052931,1,92,0.90312463,0.90746164
0.5,0.05,59,1,0.51586705,1,40,0.5144848,0.5172493
0.9,0.05,59,2,0.9053489,1,98,0.9032097,0.90748805
0.5,0.05,60,1,0.5149206,1,33,0.51302516,0.51681596
0.9,0.05,60,2,0.9047564,1,89,0.9028987,0.90661407
0.5,0.05,61,1,0.51348734,1,38,0.51198393,0.51499075
0.9,0.05,61,2,0.9061516,1,89,0.90331274,0.90899044
0.5,0.05,62,1,0.516582,1,34,0.5135781,0.5195859
0.9,0.05,62,2,0.9050272,1,86,0.90299916,0.9070553
0.5,0.05,63,1,0.5156539,1,37,0.5141122,0.5171956
0.9,0.05,63,2,0.9051636,1,93,0.902919,0.9074082
0.5,0.05,64,1,0.51594,1,38,0.5135764,0.5183037
0.9,0.05,64,2,0.9048765,1,94,0.90307504,0.9066779
0.5,0.05,65,1,0.5165572,1,35,0.5143412,0.51877326
0.9,0.05,65,2,0.90561736,1,92,0.9031869,0.9080478
0.5,0.05,66,1,0.51651764,1,37,0.5145961,0.5184391
0.9,0.05,66,2,0.9051465,1,92,0.90310574,0.9071872
0.5,0.05,67,1,0.5154325,1,41,0.51353127,0.5173337
0.9,0.05,67,2,0.9050083,1,90,0.9029124,0.9071042
0.5,0.05,68,1,0.51488817,1,32,0.51358795,0.5161883
0.9,0.05,68,2,0.9059576,1,94,0.90318763,0.9087275
0.5,0.05,69,1,0.51499873,1,33,0.51270956,0.5172879
0.9,0.05,69,2,0.90519804,1,90,0.9031112,0.90728486
0.5,0.05,70,1,0.5159364,1,30,0.51326495,0.51860785
0.9,0.05,70,2,0.9057523,1,92,0.9032193,0.9082853
0.5,0.05,71,1,0.5163078,1,38,0.51362526,0.51899034
0.9,0.05,71,2,0.9059582,1,92,0.9034749,0.9084414
0.5,0.05,72,1,0.5135212,1,31,0.51169556,0.5153469
0.9,0.05,72,2,0.90559834,1,89,0.9031527,0.9080439
0.5,0.05,73,1,0.51597804,1,45,0.51354647,0.5184096
0.9,0.05,73,2,0.9051149,1,93,0.90304065,0.90718913
0.5,0.05,74,1,0.51581407,1,39,0.5139728,0.5176554
0.9,0.05,74,2,0.9055378,1,90,0.9029486,0.9081269
0.5,0.05,75,1,0.51500887,1,39,0.51337415,0.5166436
0.9,0.05,75,2,0.9053164,1,84,0.90292853,0.9077043
0.5,0.05,76,1,0.5156843,1,36,0.51318437,0.5181843
0.9,0.05,76,2,0.90445215,1,91,0.90297747,0.90592676
0.5,0.05,77,1,0.5158139,1,41,0.51376694,0.5178609
0.9,0.05,77,2,0.90551823,1,90,0.90333426,0.9077022
0.5,0.05,78,1,0.51602995,1,47,0.51214945,0.51991045
0.9,0.05,78,2,0.90499413,1,92,0.9030157,0.90697265
0.5,0.05,79,1,0.5156375,1,40,0.51311886,0.5181562
0.9,0.05,79,2,0.90549666,1,89,0.90320945,0.9077838
0.5,0.05,80,1,0.51356685,1,41,0.5127485,0.5143852
0.9,0.05,80,2,0.9047704,1,92,0.903192,0.9063487
0.5,0.05,81,1,0.5159779,1,32,0.51297635,0.51897943
0.9,0.05,81,2,0.90509486,1,92,0.9031305,0.9070592
0.5,0.05,82,1,0.51549774,1,61,0.5133043,0.51769114
0.9,0.05,82,2,0.9053354,1,90,0.9031577,0.90751314
0.5,0.05,83,1,0.51597583,1,33,0.5129096,0.5190421
0.9,0.05,83,2,0.9053984,1,86,0.90324265,0.90755427
0.5,0.05,84,1,0.514328,1,37,0.5131458,0.5155102
0.9,0.05,84,2,0.90536696,1,93,0.9029237,0.9078102
0.5,0.05,85,1,0.51521635,1,28,0.5136037,0.516829
0.9,0.05,85,2,0.90481406,1,98,0.90285224,0.9067759
0.5,0.05,86,1,0.5143336,1,32,0.5123338,0.51633346
0.9,0.05,86,2,0.90554917,1,87,0.9030751,0.90802324
0.5,0.05,87,1,0.5138975,1,32,0.5133019,0.5144931
0.9,0.05,87,2,0.90582955,1,91,0.9033877,0.9082714
0.5,0.05,88,1,0.51469713,1,30,0.5127231,0.51667124
0.9,0.05,88,2,0.90505624,1,90,0.9030252,0.9070873
0.5,0.05,89,1,0.5169763,1,33,0.5141529,0.51979965
0.9,0.05,89,2,0.90546054,1,90,0.9029911,0.90792996
0.5,0.05,90,1,0.5159667,1,38,0.5118865,0.5200469
0.9,0.05,90,2,0.90546954,1,91,0.9032666,0.90767246
0.5,0.05,91,1,0.5151346,1,41,0.51375437,0.5165148
0.9,0.05,91,2,0.9050183,1,88,0.9030895,0.9069472
0.5,0.05,92,1,0.5177559,1,44,0.5135117,0.52200013
0.9,0.05,92,2,0.90551245,1,89,0.9032208,0.9078041
0.5,0.05,93,1,0.51529866,1,31,0.51307684,0.51752055
0.9,0.05,93,2,0.9054958,1,88,0.9032932,0.9076985
0.5,0.05,94,1,0.5112178,1,39,0.5103767,0.51205885
0.9,0.05,94,2,0.90557283,1,87,0.9031952,0.9079504
0.5,0.05,95,1,0.51445264,1,39,0.5125583,0.516347
0.9,0.05,95,2,0.90480053,1,89,0.9031384,0.9064627
0.5,0.05,96,1,0.5154229,1,35,0.5126552,0.5181906
0.9,0.05,96,2,0.90529376,1,93,0.90328974,0.90729773
0.5,0.05,97,1,0.51429355,1,27,0.5129367,0.51565033
0.9,0.05,97,2,0.9050162,1,92,0.9031871,0.9068453
0.5,0.05,98,1,0.51595765,1,41,0.51194185,0.5199735
0.9,0.05,98,2,0.9048973,1,88,0.9030654,0.9067292
0.5,0.05,99,1,0.5156215,1,33,0.5141712,0.5170717
