Group1_tolerance,Group2_tolerance,Run,Dimension,Similarity,Happy_proportion,Coherence,Group1_similarity,Group2_similarity
0.5,0.5,1,1,0.9001315809614076,1.0,177,0.5120965783315612,0.9686083461313807
0.5,0.5,2,1,0.9000810537236164,1.0,194,0.51130257004573,0.9686890214314797
0.5,0.5,3,1,0.9006682573418269,1.0,194,0.5113883059106269,0.969364719359098
0.5,0.5,4,1,0.9002073004272745,1.0,180,0.5115138738376145,0.9688002580607445
0.5,0.5,5,1,0.8996422945774701,1.0,178,0.508689265881273,0.968634005523858
0.5,0.5,6,1,0.9005220008227852,1.0,159,0.5121972211372708,0.9690499031202308
0.5,0.5,7,1,0.8991510335046305,1.0,155,0.5087311705191925,0.9680486563844148
0.5,0.5,8,1,0.8995349636294738,1.0,157,0.5092391195121471,0.9684107008266497
0.5,0.5,9,1,0.9005961206780605,1.0,208,0.5125544971079897,0.969074054249251
0.5,0.5,10,1,0.8997048975996316,1.0,209,0.5102601046193681,0.9684304493020315
0.5,0.5,11,1,0.9011405946112468,1.0,204,0.5138259838828373,0.969490231798614
0.5,0.5,12,1,0.8993241911524152,1.0,178,0.5098739964455768,0.968050696100682
0.5,0.5,13,1,0.8999673606770352,1.0,177,0.5113125227669051,0.96855350854353
0.5,0.5,14,1,0.9004987827752596,1.0,191,0.5114358541168247,0.9691569466561619
0.5,0.5,15,1,0.899839243982269,1.0,167,0.5111524510778438,0.9684310309654037
0.5,0.5,16,1,0.9004199435987488,1.0,186,0.5114405912261554,0.9690633587233252
0.5,0.5,17,1,0.8999884265636404,1.0,170,0.5108345146934564,0.9686626463054387
0.5,0.5,18,1,0.9001040942151209,1.0,204,0.5105727479112299,0.9688449200334556
0.5,0.5,19,1,0.900554861641899,1.0,197,0.5121039683486036,0.9691050192818936
0.5,0.5,20,1,0.9008924207175469,1.0,185,0.511782049377036,0.9695589568364609
0.5,0.5,21,1,0.9000576591221372,1.0,183,0.5107041754528455,0.9687670974167182
0.5,0.5,22,1,0.9006361147290094,1.0,184,0.5109061519442157,0.969411990514562
0.5,0.5,23,1,0.9001654942980333,1.0,217,0.5111039685996719,0.9688234105977453
0.5,0.5,24,1,0.899771839885727,1.0,186,0.5100666378541807,0.9685433461265894
0.5,0.5,25,1,0.9000638626260065,1.0,184,0.5105208902260313,0.9688067401083558
0.5,0.5,26,1,0.9003850735592672,1.0,176,0.5116737607955372,0.9689811875763973
0.5,0.5,27,1,0.9003723724821279,1.0,178,0.5112259279611057,0.9690452744564267
0.5,0.5,28,1,0.9003239609161067,1.0,189,0.5115792890152874,0.9689259618397817
0.5,0.5,29,1,0.9001309295676041,1.0,168,0.5115829613227391,0.9686982180814042
0.5,0.5,30,1,0.899251787037691,1.0,180,0.5080711268020291,0.9682836682557499
0.5,0.5,31,1,0.9004140155435532,1.0,193,0.5119213115953166,0.9689715515344187
0.5,0.5,32,1,0.8991411673497098,1.0,186,0.5093726603014251,0.9679238450641137
0.5,0.5,33,1,0.9001867122969451,1.0,199,0.5106073213583087,0.968936016580235
0.5,0.5,34,1,0.9005265479820643,1.0,180,0.5125240491998909,0.96899757717892
0.5,0.5,35,1,0.9006826909474172,1.0,197,0.5122041230801637,0.9692377323357569
0.5,0.5,36,1,0.9003728958418431,1.0,175,0.5114696566864761,0.9690028792222032
0.5,0.5,37,1,0.90060258665819,1.0,244,0.5134938934421672,0.9689158854610183
0.5,0.5,38,1,0.8993102524646137,1.0,165,0.5098904556860243,0.9680313930726008
0.5,0.5,39,1,0.9005065658067067,1.0,174,0.5123087754956452,0.9690120582145414
0.5,0.5,40,1,0.8999307913830009,1.0,191,0.5110306684448268,0.9685602248426791
0.5,0.5,41,1,0.8997452823578537,1.0,188,0.5101868366766306,0.9684908904192463
0.5,0.5,42,1,0.8994059185917649,1.0,176,0.5086763666193209,0.9683581924692561
0.5,0.5,43,1,0.9002808147071202,1.0,163,0.5101450404651297,0.9691283042792364
0.5,0.5,44,1,0.899483773506479,1.0,165,0.508774336444508,0.968432497693886
0.5,0.5,45,1,0.9001322883469305,1.0,204,0.5114884540819968,0.968716494393684
0.5,0.5,46,1,0.9000885562034003,1.0,188,0.5115679656712374,0.9686510133561359
0.5,0.5,47,1,0.899788580949471,1.0,185,0.5099563796624779,0.968582498823647
0.5,0.5,48,1,0.8997905835614574,1.0,169,0.5102792494958992,0.9685278778083217
0.5,0.5,49,1,0.8992130359194591,1.0,179,0.5093714516592589,0.9680086096124361
0.5,0.5,50,1,0.9000591272820878,1.0,201,0.511647458496466,0.9686023629501396
0.5,0.5,51,1,0.9000596971644405,1.0,159,0.5097310811803666,0.9689412176322187
0.5,0.5,52,1,0.9009802254290296,1.0,188,0.512414042025326,0.9695507283826249
0.5,0.5,53,1,0.8999469009696234,1.0,175,0.5102079610848175,0.9687243609492958
0.5,0.5,54,1,0.9009998249843674,1.0,193,0.5120371949844437,0.9696402891020015
0.5,0.5,55,1,0.8993100169941174,1.0,166,0.5094363651532422,0.9681112496719197
0.5,0.5,56,1,0.9002649259833162,1.0,232,0.5118710752872471,0.9688050172826241
0.5,0.5,57,1,0.9005071085660262,1.0,177,0.5136339625951651,0.9687788402079437
0.5,0.5,58,1,0.8996849719074707,1.0,177,0.5098171709065753,0.9684851720841
0.5,0.5,59,1,0.8997030367987227,1.0,175,0.5097746052090948,0.9685139364910109
0.5,0.5,60,1,0.9002295605450394,1.0,177,0.5114934085050417,0.9688300579638633
0.5,0.5,61,1,0.900596569012831,1.0,173,0.511531493483346,0.9692551117533297
0.5,0.5,62,1,0.9001938890268056,1.0,195,0.5115649830465132,0.9687754606703874
0.5,0.5,63,1,0.9003958245595333,1.0,174,0.5117735223251897,0.9689762308361826
0.5,0.5,64,1,0.9005254856815186,1.0,194,0.511691893206063,0.9691431784713054
0.5,0.5,65,1,0.9001991752137422,1.0,187,0.511152151242122,0.9688545323852052
0.5,0.5,66,1,0.9002083032873206,1.0,186,0.5128957574499109,0.9685575760821589
0.5,0.5,67,1,0.899547388790583,1.0,181,0.5096155391820317,0.9683588916626813
0.5,0.5,68,1,0.8997996548047685,1.0,181,0.5102845223854224,0.9685376193493606
0.5,0.5,69,1,0.9005266999033028,1.0,173,0.5101655447375187,0.9694139625796186
0.5,0.5,70,1,0.8996211754793242,1.0,167,0.510096483499822,0.9683608270051196
0.5,0.5,71,1,0.8993366775251549,1.0,157,0.5092742212209656,0.9681712286376593
0.5,0.5,72,1,0.9001285730486341,1.0,177,0.5103463281428029,0.9689136750908406
0.5,0.5,73,1,0.8996323156589531,1.0,170,0.5097011614622633,0.9684436958113106
0.5,0.5,74,1,0.9002193308929685,1.0,185,0.5110382199686357,0.9688983504678508
0.5,0.5,75,1,0.8993488576795273,1.0,171,0.5089110660697357,0.9682496444341969
0.5,0.5,76,1,0.9003348493124534,1.0,174,0.5116868404951991,0.9689197920449113
0.5,0.5,77,1,0.8995972980269269,1.0,196,0.5107656794532655,0.9682146424811036
0.5,0.5,78,1,0.9004713144548115,1.0,171,0.5115988022210578,0.9690958754372396
0.5,0.5,79,1,0.8992341663593036,1.0,181,0.5098499376413689,0.9679490302507046
0.5,0.5,80,1,0.8997463463231887,1.0,174,0.5095797586331244,0.9685992735626124
0.5,0.5,81,1,0.9008845971922385,1.0,180,0.5132499755160994,0.9692907068997935
0.5,0.5,82,1,0.8998535997820166,1.0,184,0.5097098619608224,0.9687024946916396
0.5,0.5,83,1,0.8999418442658413,1.0,169,0.5094683895345224,0.9688489245125456
0.5,0.5,84,1,0.900003906667406,1.0,166,0.5099011176164046,0.9688455753234657
0.5,0.5,85,1,0.8997566876980354,1.0,175,0.5109264218703653,0.9683737934323311
0.5,0.5,86,1,0.901281120709899,1.0,200,0.5146364033311012,0.969512541423805
0.5,0.5,87,1,0.9003151348212323,1.0,212,0.5121580432038911,0.9688134451066461
0.5,0.5,88,1,0.9004786169974618,1.0,167,0.5113450592022167,0.9691492448436819
0.5,0.5,89,1,0.8997925441998809,1.0,189,0.5111938411892719,0.9683687859076361
0.5,0.5,90,1,0.8998484101384494,1.0,167,0.5107178708834764,0.9685185053010924
0.5,0.5,91,1,0.9006629503004789,1.0,182,0.511804558610648,0.9692850194222141
0.5,0.5,92,1,0.8995363247615931,1.0,189,0.5104728339923355,0.9681945878385219
0.5,0.5,93,1,0.9001382359530079,1.0,183,0.5119704967598472,0.9686384252223899
0.5,0.5,94,1,0.900287598249224,1.0,171,0.5118982241139131,0.9688268995672206
0.5,0.5,95,1,0.9007414601961842,1.0,176,0.5115986712712645,0.9694137170652888
0.5,0.5,96,1,0.8995005712514511,1.0,194,0.5100625722289023,0.9682249240201366
0.5,0.5,97,1,0.8996371079688271,1.0,173,0.5097246992405027,0.968445180097356
0.5,0.5,98,1,0.9004680814052228,1.0,183,0.5116047545593005,0.9690910214368578
0.5,0.5,99,1,0.8997518392652937,1.0,176,0.5095984607951678,0.9686024354659052
0.5,0.5,100,1,0.900573016421842,1.0,177,0.5119307463796077,0.9691569464292962
0.5,0.9,1,1,0.9004448917955069,1.0,113,0.511923448621709,0.9690074994144133
0.5,0.9,2,1,0.8995115532826818,1.0,113,0.5093266583749414,0.9683677112075785
0.5,0.9,3,1,0.8995270101114813,1.0,129,0.5098674222799398,0.9682904667876366
0.5,0.9,4,1,0.9003889652335867,1.0,139,0.5106267627559523,0.9691705303766996
0.5,0.9,5,1,0.8988412327952786,1.0,132,0.508293937929211,0.9677613436539974
0.5,0.9,6,1,0.899508114917187,1.0,119,0.5111166351137831,0.9680477878236704
0.5,0.9,7,1,0.9001584887325054,1.0,149,0.511251976504543,0.9687890497139111
0.5,0.9,8,1,0.8997840658328262,1.0,135,0.5105274279511817,0.968476413694294
0.5,0.9,9,1,0.9007822213789426,1.0,131,0.5116625045303391,0.9694504067051672
0.5,0.9,10,1,0.9005623332094845,1.0,155,0.5116408728298434,0.9691955321000101
0.5,0.9,11,1,0.9003819712145175,1.0,147,0.5123208302432554,0.9688633490329767
0.5,0.9,12,1,0.9002718512500475,1.0,120,0.5108893273022415,0.9689864142996608
0.5,0.9,13,1,0.900708593395166,1.0,121,0.5117974698031474,0.9693399681467
0.5,0.9,14,1,0.8997558367345267,1.0,129,0.5109161813923684,0.9683745994419674
0.5,0.9,15,1,0.8992937022342358,1.0,134,0.5086280461402819,0.9682347003684639
0.5,0.9,16,1,0.8999181757351278,1.0,116,0.5107160476518625,0.9686009042204105
0.5,0.9,17,1,0.8996162490774993,1.0,123,0.5092073017093263,0.9685119456718838
0.5,0.9,18,1,0.9001658087699509,1.0,158,0.5113303899009776,0.9687838238644768
0.5,0.9,19,1,0.8996426531235581,1.0,136,0.5100303559081418,0.9683977643968678
0.5,0.9,20,1,0.8997924334883732,1.0,160,0.5086072033275615,0.9688251211638114
0.5,0.9,21,1,0.8993742523374121,1.0,146,0.5087250164924224,0.9683123527806466
0.5,0.9,22,1,0.8992564154695023,1.0,130,0.5085729978996204,0.9682005479818351
0.5,0.9,23,1,0.9000221096158098,1.0,121,0.5107188475197236,0.9687226852798257
0.5,0.9,24,1,0.900286825967057,1.0,128,0.5115438107848288,0.9688885345286276
0.5,0.9,25,1,0.9006843398401528,1.0,167,0.5117998661731781,0.9693110116637377
0.5,0.9,26,1,0.9003413066934748,1.0,124,0.5115372928622985,0.9689537797225072
0.5,0.9,27,1,0.8999332427005337,1.0,117,0.5097368026288649,0.9687914380072997
0.5,0.9,28,1,0.9006740744762418,1.0,128,0.5108618988131538,0.9694644584167872
0.5,0.9,29,1,0.8999004509579196,1.0,123,0.5087198452139265,0.9689323225598013
0.5,0.9,30,1,0.899763048709397,1.0,125,0.5108368508233099,0.9683970836304723
0.5,0.9,31,1,0.9009673750319058,1.0,148,0.5125185630617805,0.9695171653795761
0.5,0.9,32,1,0.8998117333029119,1.0,170,0.5120874389658063,0.9682336675976962
0.5,0.9,33,1,0.9005046862532,1.0,130,0.5121721085011494,0.9690339646800331
0.5,0.9,34,1,0.8997254315124854,1.0,114,0.5094744981052716,0.9685932432902289
0.5,0.9,35,1,0.9001302936810698,1.0,122,0.5102674239702248,0.968929623630043
0.5,0.9,36,1,0.9005371619340954,1.0,139,0.5117104598392427,0.9691536387743647
0.5,0.9,37,1,0.9000727226193493,1.0,156,0.5107600636204838,0.9687749565603262
0.5,0.9,38,1,0.9004754509609577,1.0,186,0.5106036135069641,0.9692763634528395
0.5,0.9,39,1,0.9008629434843048,1.0,153,0.5124998683719568,0.9693976037982496
0.5,0.9,40,1,0.9002095949317925,1.0,129,0.5102709803441066,0.969022291623738
0.5,0.9,41,1,0.900857878737893,1.0,125,0.5119728251678639,0.9694846528973108
0.5,0.9,42,1,0.8982671100272094,1.0,114,0.5057364867265711,0.96753722002144
0.5,0.9,43,1,0.8992860286767586,1.0,144,0.5069021870105571,0.9685302360296183
0.5,0.9,44,1,0.8998799296688194,1.0,178,0.510856376643843,0.9685311449085218
