g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.5,0.05,1.0,1.0,0.5143961,1.0,40.0,511.67288,517.1192
0.9,0.05,1.0,2.0,0.9049376,1.0,90.0,903.0037,906.8716
0.5,0.05,2.0,1.0,0.5148935,1.0,32.0,512.2533,517.5336
0.9,0.05,2.0,2.0,0.9054607,1.0,90.0,903.05365,907.8678
0.5,0.05,3.0,1.0,0.5150529,1.0,36.0,512.5195,517.5864
0.9,0.05,3.0,2.0,0.9051158,1.0,86.0,902.9518,907.2798
0.5,0.05,4.0,1.0,0.51531595,1.0,37.0,512.1986,518.4333
0.9,0.05,4.0,2.0,0.9052324,1.0,85.0,903.27765,907.1872
0.5,0.05,5.0,1.0,0.51582366,1.0,33.0,511.81802,519.8293
0.9,0.05,5.0,2.0,0.9053069,1.0,87.0,903.0898,907.52405
0.5,0.05,6.0,1.0,0.51631707,1.0,33.0,512.9815,519.65265
0.9,0.05,6.0,2.0,0.9049196,1.0,91.0,902.96893,906.87036
0.5,0.05,7.0,1.0,0.5175515,1.0,31.0,514.7947,520.3083
0.9,0.05,7.0,2.0,0.90467817,1.0,88.0,903.0357,906.3206
0.5,0.05,8.0,1.0,0.51492804,1.0,36.0,512.3462,517.5099
0.9,0.05,8.0,2.0,0.90501475,1.0,88.0,903.0879,906.94165
0.5,0.05,9.0,1.0,0.51470035,1.0,36.0,511.47647,517.92426
0.9,0.05,9.0,2.0,0.90562963,1.0,87.0,903.1866,908.0727
0.5,0.05,10.0,1.0,0.5150351,1.0,30.0,514.2225,515.8477
0.9,0.05,10.0,2.0,0.9050948,1.0,87.0,903.1277,907.06195
0.5,0.05,11.0,1.0,0.5169646,1.0,35.0,513.62756,520.3017
0.9,0.05,11.0,2.0,0.9052331,1.0,86.0,903.00055,907.4655
0.5,0.05,12.0,1.0,0.51462644,1.0,36.0,513.09503,516.1579
0.9,0.05,12.0,2.0,0.9052137,1.0,89.0,903.08,907.34735
0.5,0.05,13.0,1.0,0.5159174,1.0,31.0,512.1216,519.71326
0.9,0.05,13.0,2.0,0.90548134,1.0,87.0,903.2889,907.67377
0.5,0.05,14.0,1.0,0.51755744,1.0,39.0,513.4445,521.6704
0.9,0.05,14.0,2.0,0.90539634,1.0,89.0,903.1765,907.6162
0.5,0.05,15.0,1.0,0.5144915,1.0,38.0,513.93536,515.04767
0.9,0.05,15.0,2.0,0.9055273,1.0,93.0,903.13007,907.92456
0.5,0.05,16.0,1.0,0.515837,1.0,32.0,513.345,518.32904
0.9,0.05,16.0,2.0,0.9051172,1.0,89.0,903.01086,907.22363
0.5,0.05,17.0,1.0,0.51530147,1.0,36.0,512.56537,518.0376
0.9,0.05,17.0,2.0,0.9053425,1.0,90.0,903.14435,907.54065
0.5,0.05,18.0,1.0,0.51536024,1.0,47.0,513.28296,517.43744
0.9,0.05,18.0,2.0,0.90497214,1.0,87.0,903.03107,906.91315
0.5,0.05,19.0,1.0,0.51634157,1.0,37.0,514.45496,518.2282
0.9,0.05,19.0,2.0,0.90454525,1.0,91.0,903.0778,906.01263
0.5,0.05,20.0,1.0,0.5162797,1.0,35.0,513.5651,518.9943
0.9,0.05,20.0,2.0,0.905831,0.999,0.0,903.22424,908.43774
0.5,0.05,21.0,1.0,0.5141946,1.0,43.0,512.6488,515.7405
0.9,0.05,21.0,2.0,0.9053553,1.0,88.0,902.93866,907.7719
0.5,0.05,22.0,1.0,0.5177832,1.0,33.0,515.2348,520.33167
0.9,0.05,22.0,2.0,0.9052791,1.0,89.0,903.45325,907.1049
0.5,0.05,23.0,1.0,0.5132383,1.0,40.0,510.24887,516.2278
0.9,0.05,23.0,2.0,0.90580046,1.0,88.0,903.0902,908.51074
0.5,0.05,24.0,1.0,0.5161612,1.0,41.0,513.71155,518.6109
0.9,0.05,24.0,2.0,0.9056231,1.0,87.0,903.2205,908.0257
0.5,0.05,25.0,1.0,0.5152341,1.0,42.0,513.733,516.7352
0.9,0.05,25.0,2.0,0.90620214,1.0,95.0,903.4585,908.9458
0.5,0.05,26.0,1.0,0.5142051,1.0,43.0,511.81433,516.5959
0.9,0.05,26.0,2.0,0.9055952,1.0,87.0,903.35376,907.83655
0.5,0.05,27.0,1.0,0.5147893,1.0,34.0,514.8288,514.74976
0.9,0.05,27.0,2.0,0.90582323,1.0,90.0,903.2164,908.4302
0.5,0.05,28.0,1.0,0.5155577,1.0,26.0,514.9545,516.16095
0.9,0.05,28.0,2.0,0.9054458,1.0,89.0,903.3085,907.58307
0.5,0.05,29.0,1.0,0.51518935,1.0,36.0,514.20807,516.1706
0.9,0.05,29.0,2.0,0.9048958,1.0,88.0,903.0645,906.727
0.5,0.05,30.0,1.0,0.51588285,1.0,36.0,512.29254,519.47314
0.9,0.05,30.0,2.0,0.90495473,1.0,91.0,903.1701,906.7394
0.5,0.05,31.0,1.0,0.5151328,1.0,33.0,512.06396,518.2016
0.9,0.05,31.0,2.0,0.9049058,1.0,92.0,903.0089,906.8027
0.5,0.05,32.0,1.0,0.5154865,1.0,34.0,513.3869,517.58606
0.9,0.05,32.0,2.0,0.9053594,1.0,89.0,903.025,907.6937
0.5,0.05,33.0,1.0,0.5139932,1.0,32.0,511.45895,516.5275
0.9,0.05,33.0,2.0,0.90551317,1.0,86.0,903.1006,907.9258
0.5,0.05,34.0,1.0,0.51678497,1.0,53.0,514.45,519.11993
0.9,0.05,34.0,2.0,0.9056386,1.0,86.0,903.1026,908.1746
0.5,0.05,35.0,1.0,0.5165472,1.0,30.0,514.08997,519.00446
0.9,0.05,35.0,2.0,0.90563273,1.0,88.0,903.30524,907.96027
0.5,0.05,36.0,1.0,0.5175974,1.0,30.0,515.4415,519.75323
0.9,0.05,36.0,2.0,0.9057166,1.0,87.0,903.2447,908.1885
0.5,0.05,37.0,1.0,0.5169612,1.0,28.0,514.28064,519.6418
0.9,0.05,37.0,2.0,0.90527874,1.0,92.0,903.25226,907.30524
0.5,0.05,38.0,1.0,0.5140006,1.0,32.0,512.2188,515.78235
0.9,0.05,38.0,2.0,0.9055168,1.0,90.0,903.23303,907.80066
0.5,0.05,39.0,1.0,0.5154484,1.0,36.0,514.4962,516.4006
0.9,0.05,39.0,2.0,0.90541226,1.0,88.0,903.3172,907.5074
0.5,0.05,40.0,1.0,0.51695776,1.0,35.0,513.07574,520.8398
0.9,0.05,40.0,2.0,0.90468657,1.0,88.0,903.084,906.2892
0.5,0.05,41.0,1.0,0.51586336,1.0,35.0,513.5474,518.17926
0.9,0.05,41.0,2.0,0.9050665,1.0,86.0,903.06305,907.06995
0.5,0.05,42.0,1.0,0.51585674,1.0,30.0,513.53345,518.18005
0.9,0.05,42.0,2.0,0.9053324,1.0,92.0,903.1358,907.529
0.5,0.05,43.0,1.0,0.51716465,1.0,36.0,515.61127,518.718
0.9,0.05,43.0,2.0,0.9057004,1.0,90.0,903.33435,908.06647
0.5,0.05,44.0,1.0,0.51547635,1.0,45.0,513.4878,517.4649
0.9,0.05,44.0,2.0,0.90551794,1.0,92.0,903.1557,907.88025
0.5,0.05,45.0,1.0,0.5172619,1.0,32.0,515.8099,518.714
0.9,0.05,45.0,2.0,0.9053766,1.0,94.0,902.9727,907.78046
0.5,0.05,46.0,1.0,0.5160684,1.0,46.0,512.92145,519.21533
0.9,0.05,46.0,2.0,0.90506476,1.0,89.0,903.2412,906.88824
0.5,0.05,47.0,1.0,0.51573503,1.0,35.0,512.48724,518.9827
0.9,0.05,47.0,2.0,0.90558696,1.0,90.0,903.34814,907.82574
0.5,0.05,48.0,1.0,0.5153283,1.0,40.0,513.59033,517.0662
0.9,0.05,48.0,2.0,0.90495557,1.0,96.0,903.03516,906.876
0.5,0.05,49.0,1.0,0.51526433,1.0,48.0,514.0507,516.47797
0.9,0.05,49.0,2.0,0.9049447,1.0,87.0,903.21747,906.672
0.5,0.05,50.0,1.0,0.5146873,1.0,33.0,512.2341,517.14056
0.9,0.05,50.0,2.0,0.9056995,1.0,90.0,903.36176,908.03723
0.5,0.05,51.0,1.0,0.51623064,1.0,38.0,512.37976,520.0815
0.9,0.05,51.0,2.0,0.90485543,1.0,95.0,903.19977,906.51117
0.5,0.05,52.0,1.0,0.51553166,1.0,31.0,514.1177,516.9457
0.9,0.05,52.0,2.0,0.90519315,1.0,91.0,903.1009,907.2854
0.5,0.05,53.0,1.0,0.51500803,1.0,35.0,512.7112,517.30493
0.9,0.05,53.0,2.0,0.90571576,1.0,92.0,903.3409,908.0906
0.5,0.05,54.0,1.0,0.516111,1.0,36.0,513.6518,518.5703
0.9,0.05,54.0,2.0,0.90498996,1.0,88.0,903.0315,906.9484
0.5,0.05,55.0,1.0,0.516976,1.0,27.0,513.7355,520.2165
0.9,0.05,55.0,2.0,0.90505135,1.0,97.0,903.01685,907.0859
0.5,0.05,56.0,1.0,0.515364,1.0,36.0,512.25165,518.4763
0.9,0.05,56.0,2.0,0.9051561,1.0,86.0,902.9436,907.36847
0.5,0.05,57.0,1.0,0.51657975,1.0,31.0,513.6635,519.496
0.9,0.05,57.0,2.0,0.9047669,1.0,90.0,903.2631,906.2707
0.5,0.05,58.0,1.0,0.51471335,1.0,37.0,511.58136,517.84534
0.9,0.05,58.0,2.0,0.90492857,1.0,93.0,902.9718,906.8854
0.5,0.05,59.0,1.0,0.51588583,1.0,35.0,513.04694,518.72473
0.9,0.05,59.0,2.0,0.9050974,1.0,92.0,903.17126,907.0236
0.5,0.05,60.0,1.0,0.514931,1.0,35.0,511.9142,517.9478
0.9,0.05,60.0,2.0,0.9055781,1.0,92.0,903.176,907.9801
0.5,0.05,61.0,1.0,0.51588297,1.0,31.0,513.4334,518.3325
0.9,0.05,61.0,2.0,0.9049356,1.0,89.0,902.8211,907.05005
0.5,0.05,62.0,1.0,0.5155627,1.0,34.0,512.3809,518.74445
0.9,0.05,62.0,2.0,0.90529644,1.0,88.0,903.2577,907.33527
0.5,0.05,63.0,1.0,0.5149827,1.0,37.0,513.31464,516.65076
0.9,0.05,63.0,2.0,0.90539765,1.0,89.0,903.1648,907.63055
0.5,0.05,64.0,1.0,0.51536715,1.0,37.0,512.08936,518.64496
0.9,0.05,64.0,2.0,0.9050074,1.0,91.0,902.9379,907.07697
0.5,0.05,65.0,1.0,0.515978,1.0,33.0,513.1336,518.8224
0.9,0.05,65.0,2.0,0.9055802,1.0,90.0,903.03827,908.12213
0.5,0.05,66.0,1.0,0.5160701,1.0,31.0,513.0041,519.13617
0.9,0.05,66.0,2.0,0.90578264,1.0,93.0,903.157,908.40826
0.5,0.05,67.0,1.0,0.51480734,1.0,42.0,512.8397,516.77496
0.9,0.05,67.0,2.0,0.905558,1.0,87.0,903.2051,907.9109
0.5,0.05,68.0,1.0,0.51680887,1.0,33.0,514.76776,518.8499
0.9,0.05,68.0,2.0,0.9045691,1.0,93.0,902.898,906.2402
0.5,0.05,69.0,1.0,0.5164996,1.0,31.0,513.65314,519.34595
0.9,0.05,69.0,2.0,0.9056235,1.0,89.0,903.06274,908.1842
0.5,0.05,70.0,1.0,0.5166971,1.0,32.0,513.82904,519.56525
0.9,0.05,70.0,2.0,0.90538067,1.0,90.0,903.09296,907.6684
0.5,0.05,71.0,1.0,0.51688445,1.0,38.0,513.5797,520.1892
0.9,0.05,71.0,2.0,0.9053974,1.0,90.0,903.174,907.62085
0.5,0.05,72.0,1.0,0.51574033,1.0,37.0,511.64944,519.83124
0.9,0.05,72.0,2.0,0.9058219,1.0,85.0,903.208,908.4358
0.5,0.05,73.0,1.0,0.51437783,1.0,35.0,512.5893,516.1663
0.9,0.05,73.0,2.0,0.90553635,1.0,90.0,903.03644,908.0363
0.5,0.05,74.0,1.0,0.5149839,1.0,36.0,512.45624,517.51154
0.9,0.05,74.0,2.0,0.90558606,1.0,87.0,903.29956,907.8725
